ID,Unique Name,Route,ELR,Veh Per Day,Cyc and Ped Per Day,Trains Per Day,Total users,Main Crossing Type,Lat,Long
23,Abergarenig,WALES,GNT,0,1,2,1,User Worked Crossing,51.80257193,-3.93770702
24,Abergavenny,WALES,HNL1,0,8,94,8,Barrow Staff Crossing with MSL,51.81798823,-3.009006814
25,Abergavenny 15,WALES,HNL1,0,0,94,0,Footpath Crossing,51.80446912,-3.005607629
26,Abergavenny 18,WALES,HNL1,0,0,94,0,Footpath Crossing,51.79576123,-2.996731329
27,Abergavenny Rural No. 7,WALES,HNL1,0,0,94,0,Footpath Crossing,51.81960222,-3.008796026
28,Aber-Gwydol,WALES,SBA2,0,0,24,0,User Worked Crossing,52.611476,-3.787495037
29,Aberkin 1,WALES,DJP,2,0,16,2,User Worked Crossing with Telephone,52.91584104,-4.27408187
30,Aberkin 1 FP,WALES,DJP,0,8,16,8,Footpath Crossing,52.91584104,-4.27408187
31,Aberlash,WALES,LLA,0,95,9,95,Footpath Crossing,51.80033287,-3.996415958
32,Aberleri,WALES,SBA2,307,106,32,413,Automatic Half Barrier,52.50957663,-4.050341064
33,Abermule Old Station,WALES,SBA2,1441,81,24,1522,Automatic Half Barrier,52.54285498,-3.236731288
34,Abernethys,LONDON_NORTH_WEST,DCL,0,0,255,0,User Worked Crossing with Telephone,51.96379277,-1.275379243
35,Aby House,LONDON_NORTH_EAST,GRS2,0,0,33,0,Footpath Crossing,52.97300269,-0.160570659
36,Achaleven,SCOTLAND,OBN2,3,4,14,7,User Worked Crossing with Telephone,56.45422741,-5.373353377
37,Achanalt Station,SCOTLAND,KYL,0,0,8,0,User Worked Crossing with Telephone,57.60960367,-4.914080997
38,Achanalt Viaduct,SCOTLAND,KYL,0,0,8,0,Footpath Crossing,57.60988781,-4.885397614
39,Acheilidh 1,SCOTLAND,WCK,0,0,9,0,User Worked Crossing with Telephone,58.00466926,-4.261864521
40,Acheilidh 2,SCOTLAND,WCK,45,2,9,47,Automatic Barrier Crossing (Locally) Monitored,58.00466926,-4.261864521
41,Acheilidh 3,SCOTLAND,WCK,0,2,9,2,User Worked Crossing with Telephone,58.00463512,-4.259482026
42,Achinduich No. 1,SCOTLAND,WCK,0,0,9,0,User Worked Crossing with Telephone,57.97631006,-4.407283966
43,Achinduich No. 2,SCOTLAND,WCK,0,0,9,0,User Worked Crossing with Telephone,57.9848777,-4.404097226
44,Achintee,SCOTLAND,KYL,0,2,8,2,User Worked Crossing with Telephone,57.41939897,-5.430777684
45,Ach-Na-Cloich 1,SCOTLAND,OBN2,0,0,14,0,User Worked Crossing with Telephone,56.44758003,-5.32515616
46,Achnalarig,SCOTLAND,OBN2,0,0,16,0,User Worked Crossing with Telephone,56.42191384,-5.438668556
47,Achnasheen Station,SCOTLAND,KYL,1,0,12,1,User Worked Crossing with Telephone,57.57992976,-5.070891493
48,Achnashellach,SCOTLAND,KYL,2,1,8,3,User Worked Crossing with Telephone,57.48206678,-5.333174589
49,Achnashellach FP,SCOTLAND,KYL,0,10,8,10,Footpath Crossing,57.4821017,-5.332867004
50,Achterneed,SCOTLAND,KYL,189,0,8,189,Automatic Barrier Crossing (Locally) Monitored,57.60275894,-4.528318043
51,Ackhurst,LONDON_NORTH_WEST,WBS3,0,0,65,0,Footpath Crossing,53.55803346,-2.683910648
52,Acklington No.18,LONDON_NORTH_EAST,ECM7,0,0,114,0,Footpath Crossing,55.32237175,-1.650966556
53,Acre Gled 1,WALES,DJP,0,0,16,0,User Worked Crossing,52.87053253,-4.100861881
54,Acre Gled.2,WALES,DJP,0,0,16,0,User Worked Crossing,52.87193768,-4.099512479
55,Acton,KENT,SBJ,0,0,88,0,Footpath Crossing,51.2195273,0.753572303
56,Acton Central,ANGLIA,BOK5,3564,4293,169,7857,Manually Controlled Barrier with CCTV,51.50907264,-0.262696299
57,Adams,LONDON_NORTH_EAST,DAE1,0,0,20,0,Footpath Crossing,54.58155864,-1.579074816
58,Adamsons,LONDON_NORTH_EAST,CFM,1,0,253,1,User Worked Crossing with Telephone,53.81969919,-1.238722633
59,Adber No.1,WESSEX,WEY,0,0,22,0,Footpath Crossing,50.98413873,-2.579629749
60,Addison,LONDON_NORTH_EAST,NEC2,4347,864,103,5211,Automatic Half Barrier,54.97224984,-1.735003196
61,Addlestone,WESSEX,VWW,8964,1620,106,10584,Manually Controlled Barrier with CCTV,51.37279698,-0.483969004
62,Adelaide,WESSEX,SDP1,729,594,140,1323,Manually Controlled Barrier with CCTV,50.92332504,-1.386470995
63,Adelaide FP,ANGLIA,BGK,0,2,76,2,Footpath Crossing,52.41781736,0.303355422
64,Admiralty,WESSEX,BML2,1,0,69,1,User Worked Crossing with Telephone,50.71192677,-2.076899353
65,Adshead,WALES,SBA1,0,0,24,0,User Worked Crossing with Telephone,52.70438544,-3.018882241
66,Adshead FP,WALES,SBA1,0,0,24,0,Footpath Crossing,52.70438544,-3.018882241
67,Adventure,LONDON_NORTH_EAST,FEP,0,0,0,0,Footpath Crossing,54.81897636,-1.511462336
68,Adversane,SUSSEX,TBH1,7587,95,278,7682,Automatic Half Barrier,50.99775988,-0.467732146
69,Adwick Le Street,LONDON_NORTH_EAST,DOL1,0,2,163,2,Footpath Crossing,53.56907841,-1.176781481
70,Agnes,LONDON_NORTH_WEST,CBC1,0,2,24,2,Footpath Crossing,54.21608723,-3.319161882
71,Agnews,LONDON_NORTH_EAST,PMJ,2,0,45,2,User Worked Crossing with Telephone,52.64482595,-0.375843367
72,Agnews FP,LONDON_NORTH_EAST,PMJ,0,4,45,4,Footpath Crossing,52.64482595,-0.375843367
73,Ainsdale,LONDON_NORTH_WEST,HXS3,4293,810,144,5103,Manually Controlled Barrier with CCTV,53.60233132,-3.042236541
74,Airds,SCOTLAND,OBN2,0,4,14,4,User Worked Crossing with Telephone,56.43235129,-5.222498885
75,Albion Street,ANGLIA,ESK,546,762,35,1308,Manually Controlled Barrier,52.21473945,1.489851285
76,Aldridge,WALES,SWM2,0,0,78,0,User Worked Crossing with Telephone,51.73522965,-2.480754097
78,Aldwinkles,MIDLAND_AND_CONTINENTAL,PMJ,4,4,152,8,User Worked Crossing with MSL,52.64586763,-0.398955126
77,Aldwinkles FP,MIDLAND_AND_CONTINENTAL,PMJ,0,10,380,10,Footpath Crossing with MSL,52.64586763,-0.398955126
79,Alexandra Road,ANGLIA,MAH,1598,427,53,2025,Manually Controlled Barrier with CCTV,51.94122338,1.28497383
80,Alice Holt (Bentley Station),WESSEX,PAA2,0,93,92,93,Footpath Crossing,51.18163604,-0.86738984
81,Alkington 14,WESTERN,BGL2,0,0,105,0,Footpath Crossing,51.67928489,-2.41778969
82,All Stretton 1,WALES,SHL,4,0,95,4,User Worked Crossing with Telephone,52.55435295,-2.790676341
83,All Stretton 1 FP,WALES,SHL,0,4,95,4,Footpath Crossing,52.55435295,-2.790676341
84,All Stretton 2,WALES,SHL,0,2,95,2,Footpath Crossing,52.5526562,-2.791715145
85,All Stretton 3,WALES,SHL,0,5,95,5,Footpath Crossing,52.55011435,-2.79326765
86,Allanfearn,SCOTLAND,ANI3,63,0,26,63,Automatic Half Barrier,57.49991649,-4.146618037
87,Allarburn Farm,SCOTLAND,ANI2,0,0,33,0,User Worked Crossing with Telephone,57.64033654,-3.352184874
88,Allcards,SUSSEX,TBH1,0,12,154,12,Footpath Crossing,51.07572073,-0.313734435
89,Allenby Estate,LONDON_NORTH_EAST,NOB3,0,5,41,5,Footpath Crossing,53.23052664,-0.496998553
90,Allens,WALES,DJP,2,0,18,2,Automatic Open Crossing (Locally) Monitored,52.65822405,-4.096991359
91,Allens West,LONDON_NORTH_EAST,DSN1,4779,189,87,4968,Manually Controlled Barrier with Obstacle Detection,54.52471102,-1.360827675
92,Aller 1 And 1,WESTERN,CCL,0,0,43,0,Footpath Crossing,51.04396244,-2.875498512
93,Allington,LONDON_NORTH_EAST,NOG1,13,2,66,15,Manually Controlled Barrier,52.93308505,-0.703372959
94,Allscott,LONDON_NORTH_WEST,WSJ2,0,0,79,0,Footpath Crossing,52.70891311,-2.574737639
95,Allt-Y-Baily,WALES,PEM,0,1,18,1,User Worked Crossing with Telephone,51.81668527,-4.636105072
96,Alphington,WESTERN,MLN1,0,35,132,35,Footpath Crossing,50.70202003,-3.518888028
97,Alresford Station,ANGLIA,COC,635,149,94,784,Manually Controlled Barrier with CCTV,51.85398086,0.997896965
98,Alrewas,MIDLAND_AND_CONTINENTAL,BJW3,864,0,30,864,Manually Controlled Barrier,52.73072419,-1.738951566
99,Alrewas Accomodation,MIDLAND_AND_CONTINENTAL,BJW3,0,0,0,0,User Worked Crossing,52.73540766,-1.719350301
100,Alrewas FP,MIDLAND_AND_CONTINENTAL,BJW3,0,3,15,3,Footpath Crossing,52.73310302,-1.728575045
101,Alrewas No.6,MIDLAND_AND_CONTINENTAL,BJW3,0,0,0,0,User Worked Crossing,52.73422574,-1.72268942
102,Alrewas Station,MIDLAND_AND_CONTINENTAL,BJW3,0,0,15,0,Footpath Crossing,52.72912004,-1.742097333
103,Alsager Station,LONDON_NORTH_WEST,KCS1,6831,1485,73,8316,Manually Controlled Barrier with CCTV,53.09314004,-2.297848455
104,Alstone,WESTERN,BAG2,3456,720,130,4176,Manually Controlled Barrier,51.90312242,-2.097095329
105,Altdaroch Farm,SCOTLAND,MLG2,0,0,8,0,User Worked Crossing with Telephone,56.85655263,-5.305526339
106,Altgaragan,SCOTLAND,KYL,0,0,8,0,User Worked Crossing with Telephone,57.53751278,-5.1294537
107,Althorne,ANGLIA,WIS,432,14,54,446,Automatic Barrier Crossing (Locally) Monitored,51.64778722,0.752353396
108,Altnabreac,SCOTLAND,WCK,2,0,10,2,User Worked Crossing with Telephone,58.38394358,-3.712669211
109,Alton Hill,MIDLAND_AND_CONTINENTAL,KSL,0,4,13,4,Footpath Crossing,52.73545349,-1.424171647
110,Alvington 17,WALES,SWM2,0,0,96,0,Footpath Crossing,51.69886028,-2.559596211
111,Alvington 18,WALES,SWM2,0,0,96,0,Footpath Crossing,51.69542979,-2.566361495
112,Ambroses,ANGLIA,SOB2,0,0,83,0,User Worked Crossing with Telephone,52.37195508,0.279417942
113,Ambulance,LONDON_NORTH_EAST,BRI2,0,0,18,0,User Worked Crossing with Telephone,53.62984719,-0.22110742
114,Ammanford Park St,WALES,GNT,0,797,2,797,Footpath Crossing,51.79093366,-3.986047665
115,Ammanford Relief Rd,WALES,GNT,12717,3348,2,16065,Manually Controlled Barrier,51.78997258,-3.98735553
117,Amwell Marsh,ANGLIA,HEB,0,0,89,0,User Worked Crossing with Telephone,51.79571685,-0.007632693
116,Amwell Marsh FP,ANGLIA,HEB,0,123,89,123,Footpath Crossing,51.79571685,-0.007632693
118,Ancaster,LONDON_NORTH_EAST,GRS2,2,0,33,2,Manned Full Gates,52.98766983,-0.536672045
119,Ancaster FP,LONDON_NORTH_EAST,GRS2,0,117,33,117,Footpath Crossing,52.98766983,-0.536672045
120,Ancaster Station,LONDON_NORTH_EAST,GRS2,0,16,32,16,Barrow Staff Crossing,52.98772651,-0.534875974
121,Anderson Street,SCOTLAND,ECN3,0,0,106,0,User Worked Crossing with Telephone,56.4961994,-2.729570893
122,Anderson Street FP,SCOTLAND,ECN3,0,162,108,162,Footpath Crossing,56.4961994,-2.729570893
123,Andover Lane,WESSEX,LUD2,32,8,2,40,User Worked Crossing,51.24891036,-1.597494126
124,Andrews,WESTERN,BAG2,0,1,146,1,User Worked Crossing with Telephone,52.06493091,-2.113187765
125,Angerstein,KENT,AGW,0,372,4,372,Footpath Crossing,51.48573931,0.019730482
126,Angerton Hall,LONDON_NORTH_WEST,CBC1,5,7,26,12,User Worked Crossing with Telephone,54.23917726,-3.188518805
127,Angerton Hall No.3,LONDON_NORTH_WEST,CBC1,0,0,26,0,User Worked Crossing with Telephone,54.25502046,-3.211427357
128,Angerton No.2,LONDON_NORTH_WEST,CBC1,4,6,26,10,User Worked Crossing with Telephone,54.2522812,-3.20740321
129,Angle Lane FP,ANGLIA,SBR,0,42,168,42,Footpath Crossing with MSL,52.1155597,0.036659608
130,Angmering,SUSSEX,BLI1,5535,1431,190,6966,Manually Controlled Barrier with CCTV,50.81651643,-0.489574961
131,Annat East,SCOTLAND,MLG2,1323,54,12,1377,Manually Controlled Barrier (Remote),56.8429901,-5.139917804
132,Annat West,SCOTLAND,MLG2,300,32,12,332,Manually Controlled Barrier (Remote),56.84283319,-5.146153656
134,Anniesmuir FP,SCOTLAND,CDC1,0,54,43,54,Footpath Crossing with MSL,56.27875702,-3.122954543
133,Anniesmuir MSL,SCOTLAND,CDC1,0,0,43,0,User Worked Crossing with MSL,56.27875702,-3.122954543
135,Ansford,WESTERN,WEY,0,0,62,0,Footpath Crossing,51.10261066,-2.504939788
136,Appleby,LONDON_NORTH_EAST,DOW,2916,27,98,2943,Manually Controlled Barrier with Obstacle Detection,53.6036499,-0.562053051
137,Appleby Station (South End),LONDON_NORTH_WEST,SAC,0,8,32,8,Barrow Staff Crossing,54.58006639,-2.485930462
138,Appledore,KENT,ATH,7182,378,100,7560,Automatic Half Barrier,51.03358493,0.816853647
139,Appleford,WESTERN,DCL,19,5,282,24,Manually Controlled Barrier with CCTV,51.63175845,-1.24320914
140,Applehurst Lane,LONDON_NORTH_EAST,CJS,18,6,117,24,User Worked Crossing with Telephone,53.58230068,-1.104133975
141,Applewhite's,LONDON_NORTH_EAST,GRS2,8,6,35,14,User Worked Crossing with Telephone,52.98811556,-0.579565873
142,Appleyard Cottage,LONDON_NORTH_EAST,GRS2,0,0,30,0,Footpath Crossing,52.97618169,-0.123301616
143,Apsley Manor Farm No.2,LONDON_NORTH_WEST,PRA,12,3,70,15,User Worked Crossing with Telephone,51.7746467,-0.806081949
144,Arbroath,SCOTLAND,ECN3,135,351,83,486,Manually Controlled Barrier,56.56209357,-2.588907761
145,Archers,MIDLAND_AND_CONTINENTAL,NSS,0,0,70,0,User Worked Crossing with Telephone,52.86896205,-1.720724154
146,Ardachu 1,SCOTLAND,WCK,0,0,0,0,User Worked Crossing,58.00447362,-4.248244229
147,Ardachu 2,SCOTLAND,WCK,0,0,0,0,User Worked Crossing,58.00438989,-4.242445449
148,Ardachu 3,SCOTLAND,WCK,0,0,9,0,User Worked Crossing with Telephone,58.00431093,-4.236996124
149,Ardchronie,SCOTLAND,WCK,0,0,14,0,User Worked Crossing with Telephone,57.86806601,-4.335514506
150,Ardencaple,SCOTLAND,WHL,0,8,17,8,User Worked Crossing with Telephone,56.01835151,-4.758309321
151,Ardingly,SUSSEX,CJA2,0,2,2,2,Footpath Crossing,51.03183174,-0.096314932
152,Ardleigh,ANGLIA,LTN1,1958,81,171,2039,Manually Controlled Barrier with CCTV,51.92186746,0.985677523
153,Ardmore East,SCOTLAND,NEM7,298,28,156,326,Automatic Half Barrier,55.97270366,-4.683193179
154,Ardnarff,SCOTLAND,KYL,0,8,8,8,User Worked Crossing with Telephone,57.3622331,-5.510338125
155,Ardrossan Harbour,SCOTLAND,ARH,5724,27,32,5751,Automatic Barrier Crossing (Locally) Monitored,55.6385398,-4.817684297
156,Ardrossan Princes Street,SCOTLAND,ARH,6777,864,28,7641,Automatic Barrier Crossing (Locally) Monitored,55.63988347,-4.812566145
157,Ardullie,SCOTLAND,WCK,0,0,0,0,User Worked Crossing,57.63502853,-4.361615632
158,Ardullie Farm,SCOTLAND,WCK,0,0,19,0,User Worked Crossing with Telephone,57.63236004,-4.36609737
159,Ardvannie 2,SCOTLAND,WCK,0,0,14,0,User Worked Crossing with Telephone,57.85606028,-4.206795823
160,Argoed 1,WALES,DJP,0,4,16,4,Footpath Crossing,52.82786006,-4.109682975
161,Argoed 2,WALES,DJP,0,0,16,0,User Worked Crossing,52.8325325,-4.115579968
162,Arisaig North,SCOTLAND,MLG2,0,8,12,8,Barrow Staff Crossing,56.9129855,-5.840030996
163,Arisaig South,SCOTLAND,MLG2,0,8,12,8,Barrow Staff Crossing,56.91289936,-5.838722063
164,Arksey,LONDON_NORTH_EAST,ECM1,5481,216,170,5697,Manually Controlled Barrier with CCTV,53.55113561,-1.133379366
165,Arksey Ings Lane,LONDON_NORTH_EAST,DOW,2,0,149,2,User Worked Crossing with Telephone,53.55025049,-1.104049569
166,Arksey Lane,LONDON_NORTH_EAST,ECM1,0,39,170,39,Footpath Crossing,53.55737225,-1.131137492
167,Armathwaite,LONDON_NORTH_WEST,SAC,0,0,28,0,Footpath Crossing,54.80818524,-2.773369023
168,Arnibea,SCOTLAND,OBN2,0,0,12,0,User Worked Crossing with Telephone,56.44595286,-4.761597869
170,Arnolds (NOB1),MIDLAND_AND_CONTINENTAL,NOB1,0,2,70,2,Footpath Crossing,53.07433246,-0.873375805
169,Arnolds (WBS3),LONDON_NORTH_WEST,WBS3,0,6,68,6,Footpath Crossing,53.59864153,-2.808667811
171,Arram,LONDON_NORTH_EAST,HBS,351,54,66,405,Automatic Half Barrier,53.884411,-0.426632938
172,Arrivain,SCOTLAND,OBN2,0,0,12,0,User Worked Crossing with Telephone,56.43650924,-4.810181664
173,Ascott Under Wychwood,WESTERN,OWW,918,108,37,1026,Manually Controlled Barrier,51.86719745,-1.564756622
174,Asfordby,MIDLAND_AND_CONTINENTAL,GSM3,12312,54,162,12366,Automatic Half Barrier,52.75613814,-0.94468517
175,Asfordby Sewerage,MIDLAND_AND_CONTINENTAL,GSM3,0,5,81,5,Footpath Crossing,52.75678653,-0.954124937
176,Ash,WESSEX,GTW2,8795,720,166,9515,Manually Controlled Barrier with CCTV,51.24927404,-0.711761428
177,Ash 1,WESTERN,MLN1,0,0,96,0,Footpath Crossing,50.99363925,-3.202985039
178,Ash 2,WESTERN,MLN1,0,0,112,0,Footpath Crossing,50.9882768,-3.230244162
179,Ash Platt,KENT,SBJ,0,27,73,27,Footpath Crossing,51.29673772,0.266925976
180,Ash Road,KENT,BME2,1917,27,62,1944,Automatic Half Barrier,51.27877417,1.330822229
181,Ashbrook,WALES,SHL,0,118,95,118,Footpath Crossing,52.54025287,-2.800517935
182,Ashchurch 13,WESTERN,BAG2,0,2,183,2,Footpath Crossing,52.01364342,-2.108743816
183,Ashchurch 2,WESTERN,BAG2,0,2,183,2,Footpath Crossing,52.01491463,-2.108742372
184,Ashchurch 22,WESTERN,BAG2,0,8,1,8,Footpath Crossing,51.92439895,-2.08893627
185,Asheham No.1,SUSSEX,STS,0,0,90,0,User Worked Crossing with Telephone,50.84092013,0.037190137
186,Ashendon No.6,LONDON_NORTH_WEST,NAJ2,0,1,187,1,Footpath Crossing,51.80328929,-0.985163211
187,Ashfield Bank,LONDON_NORTH_EAST,TJG1,0,15,70,15,Footpath Crossing,53.60787124,-0.981104404
188,Ashfield Road,LONDON_NORTH_EAST,DOW,15,6,115,21,User Worked Crossing with Telephone,53.60266843,-0.983101732
189,Ashford,WESSEX,BAE2,0,1,57,1,Footpath Crossing,51.01504693,-2.364474731
190,Ashford Bowdler,WALES,SHL,54,14,95,68,Automatic Half Barrier,52.33169365,-2.709122229
191,Ashford Bowdler 1,WALES,SHL,0,0,95,0,Footpath Crossing,52.3331253,-2.70942075
192,Ashford Bowdler 2,WALES,SHL,0,0,95,0,Footpath Crossing,52.3304401,-2.70886313
193,Ashford UDC1,KENT,ATH,0,0,47,0,User Worked Crossing,51.13232689,0.879390429
194,Ashley,WALES,HNL1,0,0,94,0,User Worked Crossing with Telephone,52.0309648,-2.737954166
195,Ashleys,KENT,APL,2,0,1,2,User Worked Crossing,51.02719625,0.815606448
196,Ashperton,WESTERN,WAH,0,0,45,0,Footpath Crossing,52.05964228,-2.515225081
197,Ashtead,WESSEX,BTH3,1492,1364,238,2856,Manually Controlled Barrier with CCTV,51.31813709,-0.306688083
198,Ashton Containers,WESTERN,POD,0,0,8,0,Footpath Crossing,51.43747052,-2.622743701
199,Ashton Jn,WESTERN,POD,3025,1026,2,4051,Manually Controlled Barrier with CCTV,51.43976086,-2.624356662
200,Ashtree Farm,ANGLIA,RBY,0,0,0,0,User Worked Crossing with Telephone,52.61799942,1.693967244
201,Ashville,LONDON_NORTH_EAST,BAR,0,0,18,0,User Worked Crossing,53.63149015,-0.308515968
202,Ashwell Gatehouse,MIDLAND_AND_CONTINENTAL,GSM2,69,63,81,132,Manually Controlled Barrier (Remote),52.71162038,-0.724101515
203,Ashwell Gatehouse FP,MIDLAND_AND_CONTINENTAL,GSM2,0,0,81,0,Footpath Crossing,52.71162038,-0.724101515
204,Ashwell Station,MIDLAND_AND_CONTINENTAL,GSM2,1664,108,162,1772,Manually Controlled Barrier,52.71495611,-0.726377401
205,Ashworths,LONDON_NORTH_EAST,HBS,0,0,75,0,User Worked Crossing with Telephone,53.82499053,-0.416455355
206,Askam,LONDON_NORTH_WEST,CBC1,1620,297,26,1917,Manually Controlled Barrier,54.1888067,-3.204469414
207,Askern,LONDON_NORTH_EAST,KWS,7580,1449,42,9029,Manually Controlled Barrier with CCTV,53.61606969,-1.148554986
208,Askern Stile No.1,LONDON_NORTH_EAST,KWS,0,9,76,9,Footpath Crossing,53.60960749,-1.143064197
209,Askern Stile No.2,LONDON_NORTH_EAST,KWS,0,56,42,56,Footpath Crossing,53.61267293,-1.145668599
210,Askern Stile No.3,LONDON_NORTH_EAST,KWS,0,3,42,3,Footpath Crossing,53.62364467,-1.154993818
211,Aslockton,MIDLAND_AND_CONTINENTAL,NOG1,2376,432,134,2808,Manually Controlled Barrier with Obstacle Detection,52.95151859,-0.897693695
212,Aslockton No.1,MIDLAND_AND_CONTINENTAL,NOG1,0,30,71,30,Footpath Crossing,52.95168697,-0.900821375
213,Aspatria West,LONDON_NORTH_WEST,CBC3,0,6,30,6,Footpath Crossing,54.75720831,-3.335456839
214,Aspley Guise,LONDON_NORTH_WEST,BBM,537,56,36,593,Manually Controlled Barrier with CCTV,52.02125859,-0.632203895
215,Astley Lodge,WALES,SYC,0,2,62,2,Footpath Crossing,52.76731523,-2.715057685
216,Astley Station,LONDON_NORTH_WEST,DSE,130,201,203,331,Manned Full Gates,53.47074733,-2.448524612
217,Astley Station FP,LONDON_NORTH_WEST,DSE,0,21,203,21,Manned Full Gates,53.47074733,-2.448524612
218,Aston Magna 1,WESTERN,OWW,0,8,36,8,Footpath Crossing,52.02222747,-1.713842117
219,Aston Sandford No.4,LONDON_NORTH_WEST,NAJ2,0,2,372,2,Footpath Crossing,51.75599915,-0.911119867
220,Aston-By-Stone,LONDON_NORTH_WEST,CMD2,4280,149,71,4429,Manually Controlled Barrier with CCTV,52.89190396,-2.125488598
221,Astwood Lane,WESTERN,BAG2,0,0,212,0,Footpath Crossing,52.28358121,-2.09577901
222,Asylum,WALES,BAL,0,0,34,0,Footpath Crossing,51.53468416,-3.586570465
223,ATHelney,WESTERN,CCL,513,27,53,540,Automatic Half Barrier,51.0531219,-2.93746062
224,ATHelney FP,WESTERN,CCL,0,0,46,0,Footpath Crossing,51.05355575,-2.943813165
225,Atkinson Wood Farm,LONDON_NORTH_EAST,MBW1,0,16,21,16,User Worked Crossing with Telephone,54.4672001,-1.097984833
227,Atkinsons,LONDON_NORTH_EAST,HBS,0,2,78,2,User Worked Crossing with Telephone,53.79494172,-0.408511185
228,Atkinson's,LONDON_NORTH_EAST,DOL1,1,0,161,1,User Worked Crossing with Telephone,53.5626939,-1.170214074
226,Atkinsons FP,LONDON_NORTH_WEST,FCO,0,0,34,0,Footpath Crossing,53.70330714,-2.7434529
229,Attadale Halt,SCOTLAND,KYL,0,0,8,0,User Worked Crossing with Telephone,57.3939066,-5.455311651
230,Attadale River,SCOTLAND,KYL,0,4,8,4,Footpath Crossing,57.38934277,-5.459282759
231,Attenborough,MIDLAND_AND_CONTINENTAL,TSN1,2700,1296,468,3996,Manually Controlled Barrier with CCTV,52.90602788,-1.231782322
232,Attleborough,ANGLIA,ETN,6561,529,65,7090,Manually Controlled Barrier with Obstacle Detection,52.51425356,1.02187456
233,Auchengray,SCOTLAND,ECA2,189,0,63,189,Automatic Half Barrier,55.76286227,-3.609813463
234,Auckley,LONDON_NORTH_EAST,SPD4,8127,154,118,8281,Manually Controlled Barrier with Obstacle Detection,53.49276613,-1.009418637
235,Audley End,ANGLIA,LTN1,138,29,90,167,Automatic Half Barrier,52.40002896,1.146774779
236,Aughton Road,LONDON_NORTH_WEST,HXS3,2187,297,143,2484,Manually Controlled Barrier with CCTV,53.63751577,-3.010097646
237,Auldclune 3,SCOTLAND,HGL2,0,0,29,0,User Worked Crossing with Telephone,56.75392065,-3.807943332
238,Aultarie,SCOTLAND,HGL2,2,0,23,2,User Worked Crossing with Telephone,57.07078313,-4.095828729
239,Austins,KENT,VIR,0,0,92,0,User Worked Crossing with Telephone,51.31969556,0.933226847
240,Austins FP,KENT,VIR,0,4,92,4,Footpath Crossing,51.31969556,0.933226847
242,Australia Farm,ANGLIA,EMP,2,0,186,2,User Worked Crossing,52.55570045,0.003424616
243,Avon View Farm,WESTERN,WEY,2,2,34,4,User Worked Crossing with Telephone,51.35092177,-2.192426143
244,Avoncliff,WESTERN,BFB,0,2,84,2,User Worked Crossing with Telephone,51.33995499,-2.280132627
